part_id_1,part_id_2,label
32,86,1
32,106,1
33,87,1
33,107,1
34,57,1
34,70,1
35,58,1
35,71,1
36,125,1
37,59,1
37,72,1
38,60,1
38,73,1
39,61,1
39,74,1
40,62,1
40,75,1
41,76,1
41,100,1
42,89,1
42,112,1
44,90,1
44,113,1
45,88,1
45,108,1
46,94,1
46,115,1
48,92,1
48,104,1
49,63,1
49,77,1
50,64,1
50,78,1
51,65,1
51,79,1
52,66,1
52,80,1
53,67,1
53,81,1
54,110,1
1,31,0
2,32,0
3,33,0
3,107,0
4,34,0
4,57,0
4,70,0
5,35,0
5,58,0
5,71,0
7,37,0
7,56,0
7,59,0
7,69,0
7,72,0
7,83,0
8,38,0
8,60,0
8,73,0
10,39,0
10,61,0
10,74,0
11,40,0
11,62,0
11,75,0
12,84,0
14,41,0
14,76,0
14,100,0
15,42,0
15,89,0
15,112,0
16,91,0
16,114,0
18,45,0
18,88,0
18,108,0
19,46,0
19,94,0
19,115,0
82,68,1
102,120,1
